2024-04-22 23:47:27 status unpacked libpam-runtime:all 1.5.3-5ubuntu5
2024-04-22 23:47:27 install libpam0g:amd64 <none> 1.5.3-5ubuntu5
2024-04-22 23:47:27 status half-installed libpam0g:amd64 1.5.3-5ubuntu5
2024-04-22 23:47:27 status unpacked libpam0g:amd64 1.5.3-5ubuntu5
2024-04-22 23:47:27 install libpcre2-8-0:amd64 <none> 10.42-4ubuntu2
2024-04-22 23:47:27 status half-installed libpcre2-8-0:amd64 10.42-4ubuntu2
2024-04-22 23:47:27 status unpacked libpcre2-8-0:amd64 10.42-4ubuntu2
2024-04-22 23:47:27 install libproc2-0:amd64 <none> 2:4.0.4-4ubuntu3
2024-04-22 23:47:27 status half-installed libproc2-0:amd64 2:4.0.4-4ubuntu3
2024-04-22 23:47:27 status unpacked libproc2-0:amd64 2:4.0.4-4ubuntu3
2024-04-22 23:47:27 install libselinux1:amd64 <none> 3.5-2ubuntu2
2024-04-22 23:47:27 status half-installed libselinux1:amd64 3.5-2ubuntu2
2024-04-22 23:47:27 status unpacked libselinux1:amd64 3.5-2ubuntu2
2024-04-22 23:47:27 install libsemanage-common:all <none> 3.5-1build5
2024-04-22 23:47:27 status half-installed libsemanage-common:all 3.5-1build5
2024-04-22 23:47:27 status unpacked libsemanage-common:all 3.5-1build5
2024-04-22 23:47:27 install libsemanage2:amd64 <none> 3.5-1build5
2024-04-22 23:47:27 status half-installed libsemanage2:amd64 3.5-1build5
2024-04-22 23:47:27 status unpacked libsemanage2:amd64 3.5-1build5
2024-04-22 23:47:27 install libsepol2:amd64 <none> 3.5-2build1
2024-04-22 23:47:27 status half-installed libsepol2:amd64 3.5-2build1
2024-04-22 23:47:27 status unpacked libsepol2:amd64 3.5-2build1
2024-04-22 23:47:27 install libsmartcols1:amd64 <none> 2.39.3-9ubuntu6
2024-04-22 23:47:27 status half-installed libsmartcols1:amd64 2.39.3-9ubuntu6
2024-04-22 23:47:27 status unpacked libsmartcols1:amd64 2.39.3-9ubuntu6
2024-04-22 23:47:27 install libss2:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2024-04-22 23:47:27 status half-installed libss2:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-22 23:47:27 status unpacked libss2:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-22 23:47:27 install libssl3t64:amd64 <none> 3.0.13-0ubuntu3
2024-04-22 23:47:27 status half-installed libssl3t64:amd64 3.0.13-0ubuntu3
2024-04-22 23:47:27 status unpacked libssl3t64:amd64 3.0.13-0ubuntu3
2024-04-22 23:47:27 install libsystemd0:amd64 <none> 255.4-1ubuntu8
2024-04-22 23:47:27 status half-installed libsystemd0:amd64 255.4-1ubuntu8
2024-04-22 23:47:27 status unpacked libsystemd0:amd64 255.4-1ubuntu8
2024-04-22 23:47:27 install libtinfo6:amd64 <none> 6.4+20240113-1ubuntu2
2024-04-22 23:47:27 status half-installed libtinfo6:amd64 6.4+20240113-1ubuntu2
2024-04-22 23:47:27 status unpacked libtinfo6:amd64 6.4+20240113-1ubuntu2
2024-04-22 23:47:27 install libudev1:amd64 <none> 255.4-1ubuntu8
2024-04-22 23:47:27 status half-installed libudev1:amd64 255.4-1ubuntu8
2024-04-22 23:47:27 status unpacked libudev1:amd64 255.4-1ubuntu8
2024-04-22 23:47:27 install libuuid1:amd64 <none> 2.39.3-9ubuntu6
2024-04-22 23:47:27 status half-installed libuuid1:amd64 2.39.3-9ubuntu6
2024-04-22 23:47:27 status unpacked libuuid1:amd64 2.39.3-9ubuntu6
2024-04-22 23:47:27 install libzstd1:amd64 <none> 1.5.5+dfsg2-2build1
2024-04-22 23:47:27 status half-installed libzstd1:amd64 1.5.5+dfsg2-2build1
2024-04-22 23:47:27 status unpacked libzstd1:amd64 1.5.5+dfsg2-2build1
2024-04-22 23:47:27 install login:amd64 <none> 1:4.13+dfsg1-4ubuntu3
2024-04-22 23:47:27 status half-installed login:amd64 1:4.13+dfsg1-4ubuntu3
2024-04-22 23:47:27 status unpacked login:amd64 1:4.13+dfsg1-4ubuntu3
2024-04-22 23:47:27 install logsave:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2024-04-22 23:47:27 status half-installed logsave:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-22 23:47:27 status unpacked logsave:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-22 23:47:27 upgrade mawk:amd64 1.3.4.20240123-1build1 1.3.4.20240123-1build1
2024-04-22 23:47:27 status half-configured mawk:amd64 1.3.4.20240123-1build1
2024-04-22 23:47:27 status unpacked mawk:amd64 1.3.4.20240123-1build1
2024-04-22 23:47:27 status half-installed mawk:amd64 1.3.4.20240123-1build1
2024-04-22 23:47:27 status unpacked mawk:amd64 1.3.4.20240123-1build1
2024-04-22 23:47:27 install mount:amd64 <none> 2.39.3-9ubuntu6
2024-04-22 23:47:27 status half-installed mount:amd64 2.39.3-9ubuntu6
2024-04-22 23:47:27 status unpacked mount:amd64 2.39.3-9ubuntu6
2024-04-22 23:47:27 install ncurses-base:all <none> 6.4+20240113-1ubuntu2
2024-04-22 23:47:27 status half-installed ncurses-base:all 6.4+20240113-1ubuntu2
2024-04-22 23:47:27 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2024-04-22 23:47:27 install ncurses-bin:amd64 <none> 6.4+20240113-1ubuntu2
2024-04-22 23:47:27 status half-installed ncurses-bin:amd64 6.4+20240113-1ubuntu2
2024-04-22 23:47:27 status unpacked ncurses-bin:amd64 6.4+20240113-1ubuntu2
2024-04-22 23:47:27 install passwd:amd64 <none> 1:4.13+dfsg1-4ubuntu3
2024-04-22 23:47:27 status half-installed passwd:amd64 1:4.13+dfsg1-4ubuntu3
2024-04-22 23:47:27 status unpacked passwd:amd64 1:4.13+dfsg1-4ubuntu3
2024-04-22 23:47:27 upgrade perl-base:amd64 5.38.2-3.2build2 5.38.2-3.2build2
2024-04-22 23:47:27 status half-configured perl-base:amd64 5.38.2-3.2build2
2024-04-22 23:47:27 status unpacked perl-base:amd64 5.38.2-3.2build2
2024-04-22 23:47:27 status half-installed perl-base:amd64 5.38.2-3.2build2
2024-04-22 23:47:27 status unpacked perl-base:amd64 5.38.2-3.2build2
2024-04-22 23:47:28 install procps:amd64 <none> 2:4.0.4-4ubuntu3
2024-04-22 23:47:28 status half-installed procps:amd64 2:4.0.4-4ubuntu3
2024-04-22 23:47:28 status unpacked procps:amd64 2:4.0.4-4ubuntu3
2024-04-22 23:47:28 install sed:amd64 <none> 4.9-2build1
2024-04-22 23:47:28 status half-installed sed:amd64 4.9-2build1
2024-04-22 23:47:28 status unpacked sed:amd64 4.9-2build1
2024-04-22 23:47:28 install sensible-utils:all <none> 0.0.22
2024-04-22 23:47:28 status half-installed sensible-utils:all 0.0.22
2024-04-22 23:47:28 status unpacked sensible-utils:all 0.0.22
2024-04-22 23:47:28 install sysvinit-utils:amd64 <none> 3.08-6ubuntu3
2024-04-22 23:47:28 status half-installed sysvinit-utils:amd64 3.08-6ubuntu3
2024-04-22 23:47:28 status unpacked sysvinit-utils:amd64 3.08-6ubuntu3
2024-04-22 23:47:28 install tar:amd64 <none> 1.35+dfsg-3build1
2024-04-22 23:47:28 status half-installed tar:amd64 1.35+dfsg-3build1
2024-04-22 23:47:28 status unpacked tar:amd64 1.35+dfsg-3build1
2024-04-22 23:47:28 install util-linux:amd64 <none> 2.39.3-9ubuntu6
2024-04-22 23:47:28 status half-installed util-linux:amd64 2.39.3-9ubuntu6
2024-04-22 23:47:28 status unpacked util-linux:amd64 2.39.3-9ubuntu6
2024-04-22 23:47:28 install zlib1g:amd64 <none> 1:1.3.dfsg-3.1ubuntu2
2024-04-22 23:47:28 status half-installed zlib1g:amd64 1:1.3.dfsg-3.1ubuntu2
2024-04-22 23:47:28 status unpacked zlib1g:amd64 1:1.3.dfsg-3.1ubuntu2
2024-04-22 23:47:28 startup packages configure
2024-04-22 23:47:28 configure gcc-14-base:amd64 14-20240412-0ubuntu1 <none>
2024-04-22 23:47:28 status unpacked gcc-14-base:amd64 14-20240412-0ubuntu1
2024-04-22 23:47:28 status half-configured gcc-14-base:amd64 14-20240412-0ubuntu1
2024-04-22 23:47:28 status installed gcc-14-base:amd64 14-20240412-0ubuntu1
2024-04-22 23:47:28 configure libaudit-common:all 1:3.1.2-2.1build1 <none>
2024-04-22 23:47:28 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2024-04-22 23:47:28 status half-configured libaudit-common:all 1:3.1.2-2.1build1
2024-04-22 23:47:28 status installed libaudit-common:all 1:3.1.2-2.1build1
2024-04-22 23:47:28 configure libsemanage-common:all 3.5-1build5 <none>
2024-04-22 23:47:28 status unpacked libsemanage-common:all 3.5-1build5
2024-04-22 23:47:28 status half-configured libsemanage-common:all 3.5-1build5
2024-04-22 23:47:28 status installed libsemanage-common:all 3.5-1build5
2024-04-22 23:47:28 configure debconf:all 1.5.86ubuntu1 <none>
2024-04-22 23:47:28 status unpacked debconf:all 1.5.86ubuntu1
2024-04-22 23:47:28 status half-configured debconf:all 1.5.86ubuntu1
2024-04-22 23:47:28 status installed debconf:all 1.5.86ubuntu1
2024-04-22 23:47:28 configure ncurses-base:all 6.4+20240113-1ubuntu2 <none>
2024-04-22 23:47:28 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2024-04-22 23:47:28 status half-configured ncurses-base:all 6.4+20240113-1ubuntu2
2024-04-22 23:47:28 status installed ncurses-base:all 6.4+20240113-1ubuntu2
2024-04-22 23:47:28 configure init-system-helpers:all 1.66ubuntu1 <none>
2024-04-22 23:47:28 status unpacked init-system-helpers:all 1.66ubuntu1
2024-04-22 23:47:28 status half-configured init-system-helpers:all 1.66ubuntu1
2024-04-22 23:47:28 status installed init-system-helpers:all 1.66ubuntu1
2024-04-22 23:47:28 configure sensible-utils:all 0.0.22 <none>
2024-04-22 23:47:28 status unpacked sensible-utils:all 0.0.22
2024-04-22 23:47:28 status half-configured sensible-utils:all 0.0.22
2024-04-22 23:47:28 status installed sensible-utils:all 0.0.22
2024-04-22 23:47:28 configure libgcc-s1:amd64 14-20240412-0ubuntu1 <none>
2024-04-22 23:47:28 status unpacked libgcc-s1:amd64 14-20240412-0ubuntu1
2024-04-22 23:47:28 status half-configured libgcc-s1:amd64 14-20240412-0ubuntu1
2024-04-22 23:47:28 status installed libgcc-s1:amd64 14-20240412-0ubuntu1
2024-04-22 23:47:28 configure libc6:amd64 2.39-0ubuntu8 <none>
2024-04-22 23:47:28 status unpacked libc6:amd64 2.39-0ubuntu8
2024-04-22 23:47:28 status half-configured libc6:amd64 2.39-0ubuntu8
2024-04-22 23:47:28 status installed libc6:amd64 2.39-0ubuntu8
2024-04-22 23:47:28 configure libmd0:amd64 1.1.0-2build1 <none>
2024-04-22 23:47:28 status unpacked libmd0:amd64 1.1.0-2build1
2024-04-22 23:47:28 status half-configured libmd0:amd64 1.1.0-2build1
2024-04-22 23:47:28 status installed libmd0:amd64 1.1.0-2build1
2024-04-22 23:47:28 configure libattr1:amd64 1:2.5.2-1build1 <none>
2024-04-22 23:47:28 status unpacked libattr1:amd64 1:2.5.2-1build1
2024-04-22 23:47:28 status half-configured libattr1:amd64 1:2.5.2-1build1
2024-04-22 23:47:28 status installed libattr1:amd64 1:2.5.2-1build1
2024-04-22 23:47:28 configure sysvinit-utils:amd64 3.08-6ubuntu3 <none>
2024-04-22 23:47:28 status unpacked sysvinit-utils:amd64 3.08-6ubuntu3
2024-04-22 23:47:28 status half-configured sysvinit-utils:amd64 3.08-6ubuntu3
2024-04-22 23:47:28 status installed sysvinit-utils:amd64 3.08-6ubuntu3
2024-04-22 23:47:28 configure libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4 <none>
2024-04-22 23:47:28 status unpacked libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-22 23:47:28 status half-configured libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-22 23:47:28 status installed libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-22 23:47:28 configure debianutils:amd64 5.17build1 <none>
2024-04-22 23:47:28 status unpacked debianutils:amd64 5.17build1
2024-04-22 23:47:28 status half-configured debianutils:amd64 5.17build1
2024-04-22 23:47:28 status installed debianutils:amd64 5.17build1
2024-04-22 23:47:28 configure mawk:amd64 1.3.4.20240123-1build1 <none>
2024-04-22 23:47:28 status unpacked mawk:amd64 1.3.4.20240123-1build1
2024-04-22 23:47:28 status half-configured mawk:amd64 1.3.4.20240123-1build1
2024-04-22 23:47:28 status installed mawk:amd64 1.3.4.20240123-1build1
2024-04-22 23:47:28 configure libdebconfclient0:amd64 0.271ubuntu3 <none>
2024-04-22 23:47:28 status unpacked libdebconfclient0:amd64 0.271ubuntu3
2024-04-22 23:47:28 status half-configured libdebconfclient0:amd64 0.271ubuntu3
2024-04-22 23:47:28 status installed libdebconfclient0:amd64 0.271ubuntu3
2024-04-22 23:47:28 configure libbz2-1.0:amd64 1.0.8-5.1 <none>
2024-04-22 23:47:28 status unpacked libbz2-1.0:amd64 1.0.8-5.1
2024-04-22 23:47:28 status half-configured libbz2-1.0:amd64 1.0.8-5.1
2024-04-22 23:47:28 status installed libbz2-1.0:amd64 1.0.8-5.1
2024-04-22 23:47:28 configure libblkid1:amd64 2.39.3-9ubuntu6 <none>
2024-04-22 23:47:28 status unpacked libblkid1:amd64 2.39.3-9ubuntu6
2024-04-22 23:47:28 status half-configured libblkid1:amd64 2.39.3-9ubuntu6
2024-04-22 23:47:28 status installed libblkid1:amd64 2.39.3-9ubuntu6
